title,filename,summary,source
A guide to AI prototyping for product managers,newsletters/a-guide-to-ai-prototyping-for-product-managers.md,"- Key theme: **Choosing your tooling**
- This post will transform how you build products, come up with new ideas, and operate as a PM.
- *“Build a 2d tank game with an AI opponent.”*
- *“Add collision for the shot when it hits a tank.”*
- *“When health hits zero, play an animation and reset the game.”*",Lenny's Newsletter
An AI glossary,newsletters/an-ai-glossary.md,"- Key theme: **Model**
- You’re probably hearing a lot of AI jargon, and you probably *sort* *of* know what some of it means . . . but not *really*.
- Below is an “explain it to me like I’m 5” definition of the 20+ most common AI terms, drawn from my own understanding, a bunch of research, and feedback from my most AI-pilled friends.
- **Pre-training:** Teaches the model general knowledge (and language)
- **Fine-tuning:** Specializes the model for specific tasks",Lenny's Newsletter
Beyond vibe checks: A PM’s complete guide to evals,newsletters/beyond-vibe-checks-a-pms-complete-guide-to-evals.md,"- Key theme: Why evals matter
- I’m going to keep this intro short because this post is so damn good, and so damn timely.
- **Awareness:** Can it correctly interpret signals and react appropriately to changing conditions?
- **Decision-making:** Does it reliably make the correct choices, even in unpredictable situations?
- **Safety:** Can it consistently follow directions and arrive safely at the intended destination, without going off the rails?",Lenny's Newsletter
Essential reading for product builders—part 1,newsletters/essential-reading-for-product-builders-part-1.md,"- Key theme: 1. Who’s Got the Monkey?, by William Oncken, Jr., and Donald L. Wass
- *👋 Welcome to a **🔒 paid edition 🔒** of my weekly newsletter.
- Each week, I tackle reader questions about building product, driving growth, and accelerating your career.",Lenny's Newsletter
Everyone should be using Claude Code more,newsletters/everyone-should-be-using-claude-code-more.md,"- Key theme: **But first, let’s install Claude Code on your computer**
- *👋 Hey there, I’m Lenny.
- Each week, I tackle reader questions about building product, driving growth, and accelerating your career.",Lenny's Newsletter
How Duolingo reignited user growth,newsletters/how-duolingo-reignited-user-growth.md,"- Key theme: **Phase 1: Increasing gamification**
- *👋 Hey, Lenny here!
- Welcome to this month’s ✨ **free edition**✨ of Lenny’s Newsletter.
- Why is this feature working in that product?
- Why might this feature succeed or fail in our context, i.e. will it translate well?",Lenny's Newsletter
How to build your PM second brain with ChatGPT,newsletters/how-to-build-your-pm-second-brain-with-chatgpt.md,"- Key theme: **Context is important—but comes with a heavy mental load**
- *👋 Hey there, I’m Lenny.
- Each week, I tackle reader questions about building product, driving growth, and accelerating your career.
- Marketing needs a short blurb for an announcement.
- Leadership needs three crisp sentences for a QBR.",Lenny's Newsletter
Product manager is an unfair role. So work unfairly.,newsletters/product-manager-is-an-unfair-role-so-work-unfairly.md,"- Key theme: 1. Get out of tasks before they even reach your to-do list (or anyone else’s)
- I believe the future of product management looks like Tal Raviv.
- He’s an individual contributor (IC) PM who leverages AI tools and a suite of productivity systems to get more done with fewer resources (and management layers).
- Write that Jira (i.e. screenshare and say, “Let’s make sure I got it right”)
- Ping a colleague for input (i.e. screenshare and say, “I’ll try to quickly get a response while we’re still in the meeting”)",Lenny's Newsletter
State of the product job market in 2025,newsletters/state-of-the-product-job-market-in-2025.md,"- Key theme: **1. Open PM and engineering roles are trending up**
- Last year, I did a two-part series on the state of the product job market (see part 1, part 2), where we found:",Lenny's Newsletter
What people are vibe coding (and actually using),newsletters/what-people-are-vibe-coding-and-actually-using.md,"- Key theme: **Some high-level takeaways from the stories you shared:**
- Everyone’s talking about vibe coding, and how important it is to get your hands dirty by using the latest AI tools.
- But what are people building?
- **Cursor**, **Claude Code**, **Replit**, and **Lovable** were your favorite vibe-coding tools, followed by v0, Bolt, and ChatGPT. Honorable mentions to Gemini, n8n, Zapier Agent, Warp, and Windsurf.
- **Almost no examples are alike.** Everyone is solving their own hyper-specific problem (e.g. group drafting app for your multi-sports fantasy league), or exploring a random idea they (or their kids) suggested (e.g. a cats and sushi browser-based video game). Welcome to the era of n-of-1 personalized software.",Lenny's Newsletter
Aishwarya Naresh Reganti + Kiriti Badam,podcasts/aishwarya-naresh-reganti--kiriti-badam.md,"- **Lenny Rachitsky** (00:00:00): We worked on a guest post together.
- They had this really key insight that building AI products is very different from building non-AI products.",Lenny's Podcast
"How to find hidden growth opportunities in your product | Albert Cheng (Duolingo, Grammarly, Chess.com)",podcasts/albert-cheng.md,"- **Albert Cheng** (00:00:00): Growth as the job is to connect users to the value of your product.
- Growth sometimes gets this reputation that it's just pure metrics hacking.",Lenny's Podcast
"The power user’s guide to Codex: parallelizing workflows, planning techniques, advanced context engineering tips, automating code reviews, and more | Alexander Embiricos",podcasts/alexander-embiricos.md,- **Lenny Rachitsky** (00:00:00): You lead work on Codex.,Lenny's Podcast
