topic,quote,source,title,filename,quote_by
Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history,"I'm just like, ""Go, go, go. Just cut the blockers."" 20, 30% of stuff where it's like, it's important, it's really important to get right.",Lenny's Podcast,Anthropic’s $1B to $19B growth run: how Claude became the fastest-growing AI product in history | Amol Avasare,podcasts/amol-avasare.md,Amol Avasare
How to build a company that withstands any era,"And I remember talking to one of these ex Googlers, he'd been there I think 13 years. And I said to him, look, he was like, ""Why did we lose it when we had such good intentions?",Lenny's Podcast,"How to build a company that withstands any era | Eric Ries, Lean Startup author",podcasts/eric-ries-2.md,Eric Ries
An AI glossary,"“GPT” captures the three key elements behind how state-of-the-art LLMs like ChatGPT 4.1, Claude Opus 4, Llama 4, and Grok 3 work:",Lenny's Newsletter,An AI glossary,newsletters/an-ai-glossary.md,Lenny Rachitsky
What people are vibe coding,"“I made this music production tool the first week we got the Lenny AI bundle, with 90% v0 and 10% Cursor. I think it took three days from idea to shipping.",Lenny's Newsletter,What people are vibe coding (and actually using),newsletters/what-people-are-vibe-coding-and-actually-using.md,Lenny Rachitsky
Why we’re at the beginning of the AI hardware boom,"Sam is really good at saying, ""Why not more? Why not 100X or 10,000 X?",Lenny's Podcast,"Why we’re at the beginning of the AI hardware boom | Caitlin Kalinowski (ex–OpenAI, Meta, Apple)",podcasts/caitlin-kalinowski.md,Caitlin Kalinowski
Why we’re at the beginning of the AI hardware boom,"So I'll start with Sam, because most recently, Sam is really good at saying, ""Why not more? Why not 100X or 10,000X?",Lenny's Podcast,"Why we’re at the beginning of the AI hardware boom | Caitlin Kalinowski (ex–OpenAI, Meta, Apple)",podcasts/caitlin-kalinowski.md,Caitlin Kalinowski
From skeptic to true believer: How OpenClaw changed my life,"It's a whole bunch of people, and you just don't know how old they are, and then they fall in love in Whistler. And then it's like, ""He's 70 and she's 19.",Lenny's Podcast,From skeptic to true believer: How OpenClaw changed my life | Claire Vo,podcasts/claire-vo-openclaw.md,Claire Vo
Elena Verna 4.0,"And although we don't collect this information, but just through third-party autofill, we saw it's like 20% at most. And I'm like, ""What is happening?",Lenny's Podcast,Elena Verna 4.0,podcasts/elena-verna-40.md,Elena Verna
How to build a company that withstands any era,"Just imagine someone, a woman in 1920 going around saying this to people, how it would blow their minds. She would say, ""Mr.",Lenny's Podcast,"How to build a company that withstands any era | Eric Ries, Lean Startup author",podcasts/eric-ries-2.md,Eric Ries
“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma,"Like, ""Okay, I have a first draft, but it's only 60% of the way there. How do I get to 100% of the way there?"" Those are all things that might require different models.",Lenny's Podcast,“Dumbest idea I’ve heard” to $100M ARR: Inside the rise of Gamma | Grant Lee (CEO),podcasts/grant-lee.md,Grant Lee
Why AI evals are the hottest new skill for product builders,"And a bunch of tools are called and it says, ""Hi Sarah. Currently, we have three-bedroom, two-and-a-half-bathroom apartment available for $2,175.",Lenny's Podcast,Why AI evals are the hottest new skill for product builders | Hamel Husain & Shreya Shankar (creators of the #1 eval course),podcasts/hamel-husain--shreya-shankar.md,Hamel Husain
"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next","Someone comes up with an idea and they go, ""We can get into this business and I think we can charge this and it'll get us to a 40% gross margin."" And then, my next question is start at a 60% gross margin. Why does that not work?",Lenny's Podcast,"First interview with Scale AI’s CEO: $14B Meta deal, what’s working in enterprise AI, and what frontier labs are building next | Jason Droege",podcasts/jason-droege.md,Jason Droege
We replaced our sales team with 20 AI agents—here’s what happened,"The first two weeks, they're like, ""Leave me alone. I'm going to go talk to 20 customers.",Lenny's Podcast,We replaced our sales team with 20 AI agents—here’s what happened | Jason Lemkin (SaaStr),podcasts/jason-m-lemkin.md,Jason Lemkin
We replaced our sales team with 20 AI agents—here’s what happened,"As painful as that seems in tougher times, in 2024, the best reps say, ""No, we're not there yet. We're not the right...",Lenny's Podcast,We replaced our sales team with 20 AI agents—here’s what happened | Jason Lemkin (SaaStr),podcasts/jason-m-lemkin.md,Jason Lemkin
We replaced our sales team with 20 AI agents—here’s what happened,"I'm like, ""Guys, I know we're have different backgrounds and cultures, but this is what you want."" But it took them a long time culturally as self-serve... Because Pipedrive was 100% self-serve at the time.",Lenny's Podcast,We replaced our sales team with 20 AI agents—here’s what happened | Jason Lemkin (SaaStr),podcasts/jason-m-lemkin.md,Jason Lemkin
We replaced our sales team with 20 AI agents—here’s what happened,"I remember he called AOL back in the day and he's like, ""You guys have 20 seats of Pipedrive. Would you like to buy more for your sales team?"" They're like, ""Thank you very much.",Lenny's Podcast,We replaced our sales team with 20 AI agents—here’s what happened | Jason Lemkin (SaaStr),podcasts/jason-m-lemkin.md,Jason Lemkin
